SRRecordID,SRStatus,Method Received,ServiceRequest,SRType,SRCreatedDate,SRUpdatedDate,SRDueDate,SRClosedDate,Neighborhood,District,CouncilDistrict,PoliceDistrict,PolicePostCode,Latitude,Longitude,Location
SR-100000,In Progress,Phone,Abandoned Vehicle,Abandoned Vehicle Request,10/2/2022,10/2/2022,10/2/2022,10/2/2022,Brooklyn,NORTHWESTERN,1,NORTHWESTERN,330,39.400353,-76.419635,"39.400353, -76.419635"
SR-100001,In Progress,Phone,Dead Animal,Dead Animal Request,6/21/2020,6/21/2020,6/21/2020,6/21/2020,Oliver,SOUTHERN,4,SOUTHERN,259,39.399888,-76.567703,"39.399888, -76.567703"
SR-100002,In Progress,Phone,Street Light Out,Street Light Out Request,3/28/2021,3/28/2021,3/28/2021,3/28/2021,Pen Lucy,SOUTHERN,8,SOUTHERN,200,39.485856,-76.500993,"39.485856, -76.500993"
SR-100003,In Progress,Phone,Dead Animal,Dead Animal Request,1/27/2021,1/27/2021,1/27/2021,1/27/2021,Morrell Park,CENTRAL,8,CENTRAL,668,39.216354,-76.479157,"39.216354, -76.479157"
SR-100004,Open,Phone,Illegal Dumping,Illegal Dumping Request,3/23/2019,3/23/2019,3/23/2019,3/23/2019,Harlem Park,EASTERN,10,EASTERN,399,39.245529,-76.345235,"39.245529, -76.345235"
SR-100005,Open,Phone,Abandoned Vehicle,Abandoned Vehicle Request,2/17/2023,2/17/2023,2/17/2023,2/17/2023,Waverly,WESTERN,9,WESTERN,343,39.439797,-76.420182,"39.439797, -76.420182"
SR-100006,Closed,Phone,Illegal Dumping,Illegal Dumping Request,1/23/2020,1/23/2020,1/23/2020,1/23/2020,Middle East,WESTERN,8,WESTERN,608,39.236241,-76.42387,"39.236241, -76.42387"
SR-100007,Open,Phone,Graffiti,Graffiti Request,2/8/2023,2/8/2023,2/8/2023,2/8/2023,Greenmount West,SOUTHERN,7,SOUTHERN,454,39.322463,-76.494385,"39.322463, -76.494385"
SR-100008,Open,Phone,Graffiti,Graffiti Request,3/23/2020,3/23/2020,3/23/2020,3/23/2020,Belair-Edison,WESTERN,11,WESTERN,375,39.451904,-76.403346,"39.451904, -76.403346"
SR-100009,Open,Phone,Rat Rubout,Rat Rubout Request,3/19/2019,3/19/2019,3/19/2019,3/19/2019,Pen Lucy,WESTERN,5,WESTERN,294,39.456756,-76.42588,"39.456756, -76.42588"
SR-100010,Open,Phone,Street Light Out,Street Light Out Request,12/28/2021,12/28/2021,12/28/2021,12/28/2021,Eastwood,NORTHERN,7,NORTHERN,504,39.344077,-76.357364,"39.344077, -76.357364"
SR-100011,Open,Phone,Illegal Dumping,Illegal Dumping Request,9/18/2020,9/18/2020,9/18/2020,9/18/2020,Upton,CENTRAL,12,CENTRAL,134,39.3876,-76.595063,"39.3876, -76.595063"
SR-100012,In Progress,Phone,Illegal Dumping,Illegal Dumping Request,12/12/2019,12/12/2019,12/12/2019,12/12/2019,Pen Lucy,WESTERN,9,WESTERN,292,39.416079,-76.376556,"39.416079, -76.376556"
SR-100013,In Progress,Phone,Illegal Dumping,Illegal Dumping Request,12/21/2023,12/21/2023,12/21/2023,12/21/2023,Belair-Edison,NORTHWESTERN,13,NORTHWESTERN,292,39.487782,-76.372962,"39.487782, -76.372962"
SR-100014,Open,Phone,Graffiti,Graffiti Request,2/19/2019,2/19/2019,2/19/2019,2/19/2019,Govans,NORTHERN,7,NORTHERN,492,39.24627,-76.462098,"39.24627, -76.462098"
SR-100015,Open,Phone,Pothole,Pothole Request,11/8/2021,11/8/2021,11/8/2021,11/8/2021,Druid Heights,WESTERN,1,WESTERN,548,39.411642,-76.452183,"39.411642, -76.452183"
SR-100016,Closed,Phone,Dead Animal,Dead Animal Request,1/28/2020,1/28/2020,1/28/2020,1/28/2020,Belair-Edison,NORTHEASTERN,2,NORTHEASTERN,261,39.365174,-76.43526,"39.365174, -76.43526"
SR-100017,Open,Phone,Street Light Out,Street Light Out Request,10/14/2023,10/14/2023,10/14/2023,10/14/2023,Sandtown-Winchester,NORTHERN,3,NORTHERN,117,39.328583,-76.534048,"39.328583, -76.534048"
SR-100018,Open,Phone,Rat Rubout,Rat Rubout Request,4/10/2022,4/10/2022,4/10/2022,4/10/2022,Brooklyn,CENTRAL,6,CENTRAL,530,39.267137,-76.331255,"39.267137, -76.331255"
SR-100019,In Progress,Phone,Pothole,Pothole Request,11/4/2022,11/4/2022,11/4/2022,11/4/2022,Oliver,NORTHEASTERN,6,NORTHEASTERN,602,39.304252,-76.402194,"39.304252, -76.402194"
SR-100020,Open,Phone,Street Light Out,Street Light Out Request,10/14/2020,10/14/2020,10/14/2020,10/14/2020,Waverly,SOUTHERN,14,SOUTHERN,561,39.21019,-76.521808,"39.21019, -76.521808"
SR-100021,Open,Phone,Dirty Street,Dirty Street Request,2/13/2020,2/13/2020,2/13/2020,2/13/2020,Brooklyn,WESTERN,6,WESTERN,377,39.201691,-76.316118,"39.201691, -76.316118"
SR-100022,Closed,Phone,Pothole,Pothole Request,8/24/2023,8/24/2023,8/24/2023,8/24/2023,Greenmount West,WESTERN,9,WESTERN,539,39.426516,-76.444755,"39.426516, -76.444755"
SR-100023,Closed,Phone,Graffiti,Graffiti Request,3/11/2019,3/11/2019,3/11/2019,3/11/2019,Berea,NORTHEASTERN,3,NORTHEASTERN,532,39.24098,-76.423061,"39.24098, -76.423061"
SR-100024,Open,Phone,Rat Rubout,Rat Rubout Request,6/9/2020,6/9/2020,6/9/2020,6/9/2020,Homeland,EASTERN,10,EASTERN,435,39.468376,-76.394074,"39.468376, -76.394074"
SR-100025,Closed,Phone,Vacant Building,Vacant Building Request,1/28/2021,1/28/2021,1/28/2021,1/28/2021,Middle East,NORTHEASTERN,10,NORTHEASTERN,578,39.315832,-76.350405,"39.315832, -76.350405"
