CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Post,District,Neighborhood,Longitude,Latitude,Premise,Total Incidents
12/9/2019,07:14:00,03,1779 N BALTIMORE ST,HOMICIDE,FIREARM,704,NORTHEASTERN,Clifton Park,-76.473423,39.208939,ALLEY,1
1/18/2023,06:45:00,09,6973 N BALTIMORE ST,COMMON ASSAULT,NONE,703,WESTERN,Curtis Bay,-76.516543,39.46079,ALLEY,1
5/5/2021,06:48:00,06,1774 N BALTIMORE ST,ROBBERY,NONE,199,EASTERN,Pen Lucy,-76.492306,39.303187,HOUSE,1
9/4/2022,12:05:00,09,4903 N BALTIMORE ST,AUTO THEFT,KNIFE,821,NORTHEASTERN,Waverly,-76.579133,39.398379,HOUSE,1
2/13/2020,08:29:00,06,2764 N BALTIMORE ST,AUTO THEFT,HANDS,314,NORTHERN,Upton,-76.398947,39.410546,STREET,1
9/24/2020,07:10:00,08,6316 N BALTIMORE ST,BURGLARY,KNIFE,801,CENTRAL,Irvington,-76.502715,39.430494,STREET,1
6/13/2019,08:04:00,04,9392 N BALTIMORE ST,AUTO THEFT,KNIFE,771,NORTHERN,Curtis Bay,-76.450231,39.465405,STORE,1
4/24/2020,17:34:00,05,9677 N BALTIMORE ST,AGG. ASSAULT,NONE,470,SOUTHERN,Belair-Edison,-76.534204,39.499261,STORE,1
2/5/2019,20:10:00,07,9871 N BALTIMORE ST,ROBBERY,NONE,490,NORTHERN,Upton,-76.421233,39.340415,HOUSE,1
11/24/2019,03:43:00,09,4471 N BALTIMORE ST,AUTO THEFT,FIREARM,400,NORTHERN,Berea,-76.46957,39.336117,HOUSE,1
9/4/2020,20:19:00,09,3358 N BALTIMORE ST,ASSAULT,HANDS,880,NORTHERN,Middle East,-76.551535,39.48605,STREET,1
1/4/2022,11:56:00,05,4023 N BALTIMORE ST,LARCENY,KNIFE,680,SOUTHERN,Irvington,-76.315915,39.225696,STORE,1
3/5/2023,21:30:00,09,2805 N BALTIMORE ST,BURGLARY,NONE,316,NORTHEASTERN,Homeland,-76.321326,39.42658,ALLEY,1
11/21/2022,11:28:00,09,7497 N BALTIMORE ST,ROBBERY,KNIFE,330,SOUTHERN,Pen Lucy,-76.580792,39.20631,ALLEY,1
2/23/2019,20:03:00,04,1204 N BALTIMORE ST,LARCENY,HANDS,172,NORTHWESTERN,Morrell Park,-76.445753,39.283543,STORE,1
12/19/2020,18:30:00,04,7849 N BALTIMORE ST,AGG. ASSAULT,KNIFE,196,WESTERN,Brooklyn,-76.570921,39.329315,STORE,1
11/21/2019,20:06:00,01,6696 N BALTIMORE ST,AUTO THEFT,FIREARM,354,EASTERN,Greenmount West,-76.542523,39.360886,ALLEY,1
8/8/2021,02:28:00,09,1704 N BALTIMORE ST,LARCENY,FIREARM,195,NORTHWESTERN,Greenmount West,-76.32209,39.454609,ALLEY,1
4/28/2022,12:57:00,01,2797 N BALTIMORE ST,AGG. ASSAULT,FIREARM,499,EASTERN,Greenmount West,-76.520439,39.435221,STORE,1
11/23/2023,15:09:00,04,4961 N BALTIMORE ST,COMMON ASSAULT,FIREARM,693,EASTERN,Westport,-76.379279,39.218287,HOUSE,1
8/17/2023,16:10:00,01,8420 N BALTIMORE ST,ROBBERY,KNIFE,170,NORTHEASTERN,Harlem Park,-76.421489,39.402564,ALLEY,1
4/19/2023,19:02:00,02,6968 N BALTIMORE ST,HOMICIDE,HANDS,367,NORTHEASTERN,Govans,-76.538722,39.414858,ALLEY,1
11/21/2020,09:29:00,06,1288 N BALTIMORE ST,LARCENY,NONE,736,EASTERN,Pigtown,-76.300464,39.498829,STREET,1
5/5/2023,11:56:00,02,4102 N BALTIMORE ST,AUTO THEFT,HANDS,261,NORTHWESTERN,Berea,-76.468545,39.362965,HOUSE,1
1/22/2023,17:19:00,02,2300 N BALTIMORE ST,BURGLARY,FIREARM,209,NORTHERN,Irvington,-76.377275,39.246634,HOUSE,1
4/22/2021,20:54:00,05,8380 N BALTIMORE ST,SHOOTING,HANDS,152,NORTHWESTERN,Irvington,-76.57231,39.327073,HOUSE,1
3/21/2021,08:10:00,08,9138 N BALTIMORE ST,AGG. ASSAULT,FIREARM,214,NORTHEASTERN,Harlem Park,-76.577427,39.464932,ALLEY,1
10/18/2021,04:27:00,03,785 N BALTIMORE ST,BURGLARY,HANDS,140,NORTHEASTERN,Berea,-76.330323,39.263023,ALLEY,1
9/28/2021,13:39:00,03,3978 N BALTIMORE ST,ASSAULT,KNIFE,522,NORTHEASTERN,Eastwood,-76.592564,39.420969,HOUSE,1
5/6/2020,22:06:00,07,734 N BALTIMORE ST,SHOOTING,KNIFE,304,EASTERN,Waverly,-76.355024,39.338091,HOUSE,1
4/1/2020,21:12:00,07,5478 N BALTIMORE ST,BURGLARY,FIREARM,891,NORTHERN,Homeland,-76.516263,39.392445,STORE,1
6/1/2023,03:56:00,05,3025 N BALTIMORE ST,BURGLARY,FIREARM,211,NORTHERN,Eastwood,-76.421029,39.303706,HOUSE,1
2/13/2023,18:12:00,05,827 N BALTIMORE ST,AGG. ASSAULT,FIREARM,632,WESTERN,Greenmount West,-76.322327,39.361536,ALLEY,1
11/11/2019,19:20:00,02,5020 N BALTIMORE ST,HOMICIDE,HANDS,782,EASTERN,Pimlico,-76.477482,39.32072,HOUSE,1
7/22/2020,12:43:00,03,9424 N BALTIMORE ST,BURGLARY,NONE,661,NORTHWESTERN,Berea,-76.349882,39.291162,ALLEY,1
10/21/2023,10:29:00,08,7344 N BALTIMORE ST,COMMON ASSAULT,NONE,853,NORTHERN,Greenmount West,-76.549093,39.225439,HOUSE,1
11/10/2020,07:51:00,04,2514 N BALTIMORE ST,LARCENY,FIREARM,350,NORTHERN,Upton,-76.304819,39.383382,STREET,1
4/23/2023,22:24:00,08,6647 N BALTIMORE ST,COMMON ASSAULT,KNIFE,771,EASTERN,Johnston Square,-76.393713,39.467798,STREET,1
3/26/2020,22:33:00,08,922 N BALTIMORE ST,HOMICIDE,KNIFE,224,EASTERN,Charles Village,-76.463061,39.440425,HOUSE,1
12/17/2023,13:53:00,09,7405 N BALTIMORE ST,ASSAULT,NONE,560,EASTERN,Charles Village,-76.522243,39.274172,HOUSE,1
8/21/2023,07:17:00,08,1369 N BALTIMORE ST,BURGLARY,KNIFE,378,NORTHERN,Charles Village,-76.499246,39.467908,STREET,1
7/23/2020,04:45:00,04,1152 N BALTIMORE ST,AGG. ASSAULT,NONE,438,NORTHWESTERN,Belair-Edison,-76.437217,39.324732,ALLEY,1
10/23/2022,00:54:00,07,7914 N BALTIMORE ST,LARCENY,HANDS,405,EASTERN,Homeland,-76.373957,39.456034,STORE,1
